Year,Fuel,Flow_type,Primary_group,Subgroup,Category,Unit,Energy,Energy_TWh
2023,Bioenergy & waste,Production,Supply,,,ktoe,13730.03,159.6802489
2023,Bioenergy & waste,Imports,Supply,,,ktoe,5327.35,61.957080500000004
2023,Bioenergy & waste,Exports,Supply,,,ktoe,-640.61,-7.4502943
2023,Bioenergy & waste,Marine bunkers,Supply,,,ktoe,0.0,0.0
2023,Bioenergy & waste,Stock change,Supply,,,ktoe,-10.96,-0.12746480000000002
2023,Bioenergy & waste,Statistical difference,Statistical difference,,,ktoe,0.0,0.0
2023,Bioenergy & waste,Transfers,Demand,,,ktoe,647.14,7.5262382
2023,Bioenergy & waste,Major power producers,Demand,Transformation,Electricity generation,ktoe,4441.15,51.6505745
2023,Bioenergy & waste,Autogenerators,Demand,Transformation,Electricity generation,ktoe,5877.4,68.35416199999999
2023,Bioenergy & waste,Heat generation,Demand,Transformation,,ktoe,243.82,2.8356266
2023,Bioenergy & waste,Petroleum refineries,Demand,Transformation,,ktoe,0.0,0.0
2023,Bioenergy & waste,Coke manufacture,Demand,Transformation,,ktoe,0.0,0.0
2023,Bioenergy & waste,Blast furnaces,Demand,Transformation,,ktoe,0.0,0.0
2023,Bioenergy & waste,Patent fuel manufacture,Demand,Transformation,,ktoe,0.0,0.0
2023,Bioenergy & waste,Other,Demand,Transformation,,ktoe,0.0,0.0
2023,Bioenergy & waste,Electricity generation,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Bioenergy & waste,Oil and gas extraction,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Bioenergy & waste,Petroleum refineries,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Bioenergy & waste,Coal extraction,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Bioenergy & waste,Coke manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Bioenergy & waste,Blast furnaces,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Bioenergy & waste,Patent fuel manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Bioenergy & waste,Pumped storage,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Bioenergy & waste,Other,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Bioenergy & waste,Losses,Demand,,,ktoe,0.0,0.0
2023,Bioenergy & waste,Unclassified,Demand,Final consumption,Industry,ktoe,527.81,6.1384303
2023,Bioenergy & waste,Iron and steel,Demand,Final consumption,Industry,ktoe,0.02,0.0002326
2023,Bioenergy & waste,Non-ferrous metals,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Bioenergy & waste,Mineral products,Demand,Final consumption,Industry,ktoe,347.06,4.0363078
2023,Bioenergy & waste,Chemicals,Demand,Final consumption,Industry,ktoe,96.05,1.1170615
2023,Bioenergy & waste,Mechanical engineering etc,Demand,Final consumption,Industry,ktoe,0.02,0.0002326
2023,Bioenergy & waste,Electrical engineering etc,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Bioenergy & waste,Vehicles,Demand,Final consumption,Industry,ktoe,12.14,0.1411882
2023,Bioenergy & waste,"Food, beverages etc",Demand,Final consumption,Industry,ktoe,84.16,0.9787807999999999
2023,Bioenergy & waste,"Textiles, leather etc",Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Bioenergy & waste,"Paper, printing etc",Demand,Final consumption,Industry,ktoe,397.59,4.623971699999999
2023,Bioenergy & waste,Other industries,Demand,Final consumption,Industry,ktoe,280.56,3.2629128
2023,Bioenergy & waste,Construction,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Bioenergy & waste,Air,Demand,Final consumption,Transport,ktoe,121.76,1.4160688000000001
2023,Bioenergy & waste,Rail,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Bioenergy & waste,Road,Demand,Final consumption,Transport,ktoe,2575.65,29.9548095
2023,Bioenergy & waste,National navigation,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Bioenergy & waste,Pipelines,Demand,Final consumption,Transport,ktoe,0.0,0.0
2023,Bioenergy & waste,Domestic,Demand,Final consumption,Other final users,ktoe,1299.73,15.1158599
2023,Bioenergy & waste,Public administration,Demand,Final consumption,Other final users,ktoe,55.64,0.6470932
2023,Bioenergy & waste,Commercial,Demand,Final consumption,Other final users,ktoe,1231.04,14.3169952
2023,Bioenergy & waste,Agriculture,Demand,Final consumption,Other final users,ktoe,162.22,1.8866186
2023,Bioenergy & waste,Miscellaneous,Demand,Final consumption,Other final users,ktoe,4.85,0.0564055
2023,Bioenergy & waste,Non energy use,Demand,Final consumption,,ktoe,0.0,0.0
2023,Coal,Production,Supply,,,ktoe,357.89,4.1622607
2023,Coal,Imports,Supply,,,ktoe,2382.71,27.7109173
2023,Coal,Exports,Supply,,,ktoe,-478.54,-5.5654202
2023,Coal,Marine bunkers,Supply,,,ktoe,0.0,0.0
2023,Coal,Stock change,Supply,,,ktoe,779.47,9.0652361
2023,Coal,Statistical difference,Statistical difference,,,ktoe,-21.65,-0.2517895
2023,Coal,Transfers,Demand,,,ktoe,0.0,0.0
2023,Coal,Major power producers,Demand,Transformation,Electricity generation,ktoe,921.78,10.720301399999999
2023,Coal,Autogenerators,Demand,Transformation,Electricity generation,ktoe,0.5,0.005815
2023,Coal,Heat generation,Demand,Transformation,,ktoe,3.62,0.0421006
2023,Coal,Petroleum refineries,Demand,Transformation,,ktoe,0.0,0.0
2023,Coal,Coke manufacture,Demand,Transformation,,ktoe,605.51,7.0420812999999995
2023,Coal,Blast furnaces,Demand,Transformation,,ktoe,604.97,7.0358011000000005
2023,Coal,Patent fuel manufacture,Demand,Transformation,,ktoe,98.71,1.1479972999999999
2023,Coal,Other,Demand,Transformation,,ktoe,0.0,0.0
2023,Coal,Electricity generation,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Oil and gas extraction,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Petroleum refineries,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Coal extraction,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Coke manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Blast furnaces,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Patent fuel manufacture,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Pumped storage,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Other,Demand,Energy industry use,,ktoe,0.0,0.0
2023,Coal,Losses,Demand,,,ktoe,0.0,0.0
2023,Coal,Unclassified,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Coal,Iron and steel,Demand,Final consumption,Industry,ktoe,21.16,0.2460908
2023,Coal,Non-ferrous metals,Demand,Final consumption,Industry,ktoe,16.1,0.18724300000000002
2023,Coal,Mineral products,Demand,Final consumption,Industry,ktoe,344.69,4.0087447
2023,Coal,Chemicals,Demand,Final consumption,Industry,ktoe,38.52,0.44798760000000004
2023,Coal,Mechanical engineering etc,Demand,Final consumption,Industry,ktoe,8.14,0.09466820000000001
2023,Coal,Electrical engineering etc,Demand,Final consumption,Industry,ktoe,3.65,0.0424495
2023,Coal,Vehicles,Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Coal,"Food, beverages etc",Demand,Final consumption,Industry,ktoe,36.14,0.4203082
2023,Coal,"Textiles, leather etc",Demand,Final consumption,Industry,ktoe,0.0,0.0
2023,Coal,"Paper, printing etc",Demand,Final consumption,Industry,ktoe,0.0,0.0
