Year,Fuel,Flow_type,Primary_group,Subgroup,Category,Unit,Energy,Energy_numeric,Energy_TWh
2023,Anaerobic digestion,Production,Supply,,,ktoe,1578.09,1578.09,18.3531867
2023,Anaerobic digestion,Other sources,Supply,,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Imports,Supply,,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Exports,Supply,,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Marine bunkers,Supply,,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Stock change,Supply,,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Transfers,Supply,,,ktoe,-548.05,-548.05,-6.373821499999999
2023,Anaerobic digestion,Statistical difference,Statistical difference,,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Major power producers,Demand,Transformation,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Autogenerators,Demand,Transformation,,ktoe,867.16,867.16,10.085070799999999
2023,Anaerobic digestion,Heat generation,Demand,Transformation,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Petroleum refineries,Demand,Transformation,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Coke manufacture,Demand,Transformation,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Blast furnaces,Demand,Transformation,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Patent fuel manufacture,Demand,Transformation,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Other,Demand,Transformation,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Electricity generation,Demand,Energy industry use,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Oil and gas extraction,Demand,Energy industry use,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Petroleum refineries,Demand,Energy industry use,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Coal extraction,Demand,Energy industry use,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Coke manufacture,Demand,Energy industry use,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Blast furnaces,Demand,Energy industry use,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Patent fuel manufacture,Demand,Energy industry use,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Pumped storage,Demand,Energy industry use,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Other,Demand,Energy industry use,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Losses,Demand,,,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Unclassified,Demand,Final consumption,Industry,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Iron and steel,Demand,Final consumption,Industry,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Non-ferrous metals,Demand,Final consumption,Industry,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Mineral products,Demand,Final consumption,Industry,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Chemicals,Demand,Final consumption,Industry,ktoe,3.97,3.97,0.0461711
2023,Anaerobic digestion,"Mechanical engineering, etc",Demand,Final consumption,Industry,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,"Electrical engineering, etc",Demand,Final consumption,Industry,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Vehicles,Demand,Final consumption,Industry,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,"Food, beverages, etc",Demand,Final consumption,Industry,ktoe,24.02,24.02,0.2793526
2023,Anaerobic digestion,"Textiles, leather, etc",Demand,Final consumption,Industry,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,"Paper, printing, etc",Demand,Final consumption,Industry,ktoe,13.99,13.99,0.1627037
2023,Anaerobic digestion,Other industries,Demand,Final consumption,Industry,ktoe,42.79,42.79,0.49764769999999997
2023,Anaerobic digestion,Construction,Demand,Final consumption,Industry,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Air,Demand,Final consumption,Transport,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Rail,Demand,Final consumption,Transport,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Road,Demand,Final consumption,Transport,ktoe,69.36,69.36,0.8066568
2023,Anaerobic digestion,National navigation,Demand,Final consumption,Transport,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Pipelines,Demand,Final consumption,Transport,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Domestic,Demand,Final consumption,Other final users,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Public administration,Demand,Final consumption,Other final users,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Commercial,Demand,Final consumption,Other final users,ktoe,0.88,0.88,0.0102344
2023,Anaerobic digestion,Agriculture,Demand,Final consumption,Other final users,ktoe,7.86,7.86,0.0914118
2023,Anaerobic digestion,Miscellaneous,Demand,Final consumption,Other final users,ktoe,0.0,0.0,0.0
2023,Anaerobic digestion,Non energy use,Demand,Final consumption,,ktoe,0.0,0.0,0.0
2023,Animal biomass,Production,Supply,,,ktoe,240.12,240.12,2.7925956
2023,Animal biomass,Other sources,Supply,,,ktoe,0.0,0.0,0.0
2023,Animal biomass,Imports,Supply,,,ktoe,0.0,0.0,0.0
2023,Animal biomass,Exports,Supply,,,ktoe,0.0,0.0,0.0
2023,Animal biomass,Marine bunkers,Supply,,,ktoe,0.0,0.0,0.0
2023,Animal biomass,Stock change,Supply,,,ktoe,0.0,0.0,0.0
2023,Animal biomass,Transfers,Supply,,,ktoe,0.0,0.0,0.0
2023,Animal biomass,Statistical difference,Statistical difference,,,ktoe,0.0,0.0,0.0
2023,Animal biomass,Major power producers,Demand,Transformation,,ktoe,213.65,213.65,2.4847495
2023,Animal biomass,Autogenerators,Demand,Transformation,,ktoe,24.91,24.91,0.2897033
2023,Animal biomass,Heat generation,Demand,Transformation,,ktoe,0.0,0.0,0.0
2023,Animal biomass,Petroleum refineries,Demand,Transformation,,ktoe,0.0,0.0,0.0
2023,Animal biomass,Coke manufacture,Demand,Transformation,,ktoe,0.0,0.0,0.0
