Year,Fuel,Flow_type,Primary_group,Subgroup,Category,Aggregate_type,Unit,Energy,Row
2023,Bioenergy & waste,Production,Supply,,,value,ktoe,13730.03,5
2023,Bioenergy & waste,Imports,Supply,,,value,ktoe,5327.35,6
2023,Bioenergy & waste,Exports,Supply,,,value,ktoe,-640.61,7
2023,Bioenergy & waste,Marine bunkers,Supply,,,value,ktoe,0.0,8
2023,Bioenergy & waste,Stock change,Supply,,,value,ktoe,-10.96,9
2023,Bioenergy & waste,Total supply,Supply,,,sum,ktoe,18405.82,10
2023,Bioenergy & waste,Statistical difference,Statistical difference,,,value,ktoe,0.0,11
2023,Bioenergy & waste,Total demand,Demand,,,sum,ktoe,18405.82,12
2023,Bioenergy & waste,Transfers,Demand,,,value,ktoe,-647.14,13
2023,Bioenergy & waste,Transformation,Demand,Transformation,,sum,ktoe,-10562.37,14
2023,Bioenergy & waste,Electricity generation,Demand,Transformation,Electricity generation,sum,ktoe,-10318.55,15
2023,Bioenergy & waste,Major power producers,Demand,Transformation,Electricity generation,value,ktoe,-4441.15,16
2023,Bioenergy & waste,Autogenerators,Demand,Transformation,Electricity generation,value,ktoe,-5877.4,17
2023,Bioenergy & waste,Heat generation,Demand,Transformation,,value,ktoe,-243.82,18
2023,Bioenergy & waste,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,19
2023,Bioenergy & waste,Coke manufacture,Demand,Transformation,,value,ktoe,0.0,20
2023,Bioenergy & waste,Blast furnaces,Demand,Transformation,,value,ktoe,0.0,21
2023,Bioenergy & waste,Patent fuel manufacture,Demand,Transformation,,value,ktoe,0.0,22
2023,Bioenergy & waste,Other,Demand,Transformation,,value,ktoe,0.0,23
2023,Bioenergy & waste,Energy industry use,Demand,Energy industry use,,sum,ktoe,0.0,24
2023,Bioenergy & waste,Electricity generation,Demand,Energy industry use,,value,ktoe,0.0,25
2023,Bioenergy & waste,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,0.0,26
2023,Bioenergy & waste,Petroleum refineries,Demand,Energy industry use,,value,ktoe,0.0,27
2023,Bioenergy & waste,Coal extraction,Demand,Energy industry use,,value,ktoe,0.0,28
2023,Bioenergy & waste,Coke manufacture,Demand,Energy industry use,,value,ktoe,0.0,29
