Year,Fuel,Flow_type,Primary_group,Subgroup,Category,Aggregate_type,Unit,Energy,Row
2023,Anaerobic digestion,Production,Supply,,,value,ktoe,1578.09,6
2023,Anaerobic digestion,Other sources,Supply,,,value,ktoe,0.0,7
2023,Anaerobic digestion,Imports,Supply,,,value,ktoe,0.0,8
2023,Anaerobic digestion,Exports,Supply,,,value,ktoe,0.0,9
2023,Anaerobic digestion,Marine bunkers,Supply,,,value,ktoe,0.0,10
2023,Anaerobic digestion,Stock change,Supply,,,value,ktoe,0.0,11
2023,Anaerobic digestion,Transfers,Supply,,,value,ktoe,-548.05,12
2023,Anaerobic digestion,Total supply,Supply,,,sum,ktoe,1030.04,13
2023,Anaerobic digestion,Statistical difference,Statistical difference,,,value,ktoe,0.0,14
2023,Anaerobic digestion,Total demand,Demand,,,sum,ktoe,1030.04,15
2023,Anaerobic digestion,Transformation,Demand,Transformation,,sum,ktoe,867.16,16
2023,Anaerobic digestion,Electricity generation,Demand,Transformation,,sum,ktoe,867.16,17
2023,Anaerobic digestion,Major power producers,Demand,Transformation,,value,ktoe,0.0,18
2023,Anaerobic digestion,Autogenerators,Demand,Transformation,,value,ktoe,867.16,19
2023,Anaerobic digestion,Heat generation,Demand,Transformation,,value,ktoe,0.0,20
2023,Anaerobic digestion,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,21
2023,Anaerobic digestion,Coke manufacture,Demand,Transformation,,value,ktoe,0.0,22
2023,Anaerobic digestion,Blast furnaces,Demand,Transformation,,value,ktoe,0.0,23
2023,Anaerobic digestion,Patent fuel manufacture,Demand,Transformation,,value,ktoe,0.0,24
2023,Anaerobic digestion,Other,Demand,Transformation,,value,ktoe,0.0,25
2023,Anaerobic digestion,Energy industry use,Demand,Energy industry use,,sum,ktoe,0.0,26
2023,Anaerobic digestion,Electricity generation,Demand,Energy industry use,,value,ktoe,0.0,27
2023,Anaerobic digestion,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,0.0,28
2023,Anaerobic digestion,Petroleum refineries,Demand,Energy industry use,,value,ktoe,0.0,29
2023,Anaerobic digestion,Coal extraction,Demand,Energy industry use,,value,ktoe,0.0,30
2023,Anaerobic digestion,Coke manufacture,Demand,Energy industry use,,value,ktoe,0.0,31
2023,Anaerobic digestion,Blast furnaces,Demand,Energy industry use,,value,ktoe,0.0,32
2023,Anaerobic digestion,Patent fuel manufacture,Demand,Energy industry use,,value,ktoe,0.0,33
2023,Anaerobic digestion,Pumped storage,Demand,Energy industry use,,value,ktoe,0.0,34
2023,Anaerobic digestion,Other,Demand,Energy industry use,,value,ktoe,0.0,35
2023,Anaerobic digestion,Losses,Demand,,,value,ktoe,0.0,36
2023,Anaerobic digestion,Final consumption,Demand,Final consumption,,sum,ktoe,162.87,37
2023,Anaerobic digestion,Industry,Demand,Final consumption,Industry,sum,ktoe,84.77,38
2023,Anaerobic digestion,Unclassified,Demand,Final consumption,Industry,value,ktoe,0.0,39
2023,Anaerobic digestion,Iron and steel,Demand,Final consumption,Industry,value,ktoe,0.0,40
2023,Anaerobic digestion,Non-ferrous metals,Demand,Final consumption,Industry,value,ktoe,0.0,41
2023,Anaerobic digestion,Mineral products,Demand,Final consumption,Industry,value,ktoe,0.0,42
2023,Anaerobic digestion,Chemicals,Demand,Final consumption,Industry,value,ktoe,3.97,43
2023,Anaerobic digestion,"Mechanical engineering, etc",Demand,Final consumption,Industry,value,ktoe,0.0,44
2023,Anaerobic digestion,"Electrical engineering, etc",Demand,Final consumption,Industry,value,ktoe,0.0,45
2023,Anaerobic digestion,Vehicles,Demand,Final consumption,Industry,value,ktoe,0.0,46
2023,Anaerobic digestion,"Food, beverages, etc",Demand,Final consumption,Industry,value,ktoe,24.02,47
